order_id,customer_id,level_royalty,country,product_id,product_name,price,delivery_fee,delivery_days,delivery_hours
ORD02241,CUST0151,Gold,Germany,PROD001,Thus,123.15,3.49,4,96.0
ORD02447,CUST0128,Bronze,Korea,PROD001,Thus,123.15,13.15,1,24.0
ORD02468,CUST0209,Platinum,Germany,PROD001,Thus,123.15,11.28,3,72.0
ORD02475,CUST0205,Silver,Canada,PROD001,Thus,123.15,4.41,3,72.0
ORD02507,CUST0258,Silver,Japan,PROD001,Thus,123.15,6.28,5,120.0
ORD02525,CUST0087,Silver,USA,PROD001,Thus,123.15,10.66,2,48.0
ORD02569,CUST0208,Silver,Vietnam,PROD001,Thus,123.15,6.83,2,48.0
ORD02672,CUST0234,Bronze,Singapore,PROD001,Thus,123.15,12.05,3,72.0
ORD02688,CUST0214,Gold,Canada,PROD001,Thus,123.15,14.28,7,168.0
ORD02790,CUST0168,Platinum,Japan,PROD001,Thus,123.15,4.41,6,144.0
ORD02832,CUST0075,Silver,France,PROD001,Thus,123.15,5.92,3,72.0
ORD02851,CUST0162,Platinum,France,PROD001,Thus,123.15,3.64,5,120.0
ORD02892,CUST0149,Gold,Japan,PROD001,Thus,123.15,10.92,2,48.0
ORD02920,CUST0120,Platinum,UK,PROD001,Thus,123.15,3.04,4,96.0
ORD02994,CUST0229,Silver,USA,PROD001,Thus,123.15,11.09,6,144.0
ORD03064,CUST0159,Gold,France,PROD001,Thus,123.15,12.96,2,48.0
ORD03220,CUST0126,Silver,Japan,PROD001,Thus,123.15,13.26,3,72.0
ORD03256,CUST0108,Silver,USA,PROD001,Thus,123.15,4.96,1,24.0
ORD03386,CUST0130,Platinum,Korea,PROD001,Thus,123.15,8.56,4,96.0
ORD03500,CUST0005,Platinum,Singapore,PROD001,Thus,123.15,5.5,2,48.0
ORD03556,CUST0111,Platinum,Japan,PROD001,Thus,123.15,8.78,5,120.0
ORD03607,CUST0188,Silver,Australia,PROD001,Thus,123.15,7.02,7,168.0
ORD03729,CUST0101,Silver,Canada,PROD001,Thus,123.15,7.99,5,120.0
ORD03740,CUST0275,Gold,Canada,PROD001,Thus,123.15,5.15,6,144.0
ORD03744,CUST0173,Silver,Germany,PROD001,Thus,123.15,10.98,5,120.0
ORD03767,CUST0223,Gold,Singapore,PROD001,Thus,123.15,3.53,1,24.0
ORD03802,CUST0229,Silver,USA,PROD001,Thus,123.15,11.54,1,24.0
ORD03890,CUST0031,Platinum,France,PROD001,Thus,123.15,13.85,7,168.0
ORD03971,CUST0284,Silver,Germany,PROD001,Thus,123.15,14.32,7,168.0
ORD03988,CUST0144,Gold,Australia,PROD001,Thus,123.15,4.07,1,24.0
ORD03999,CUST0008,Bronze,UK,PROD001,Thus,123.15,6.08,4,96.0
ORD04057,CUST0179,Platinum,Germany,PROD001,Thus,123.15,8.92,1,24.0
ORD04076,CUST0282,Bronze,Japan,PROD001,Thus,123.15,5.27,2,48.0
ORD04182,CUST0090,Silver,Singapore,PROD001,Thus,123.15,7.36,3,72.0
ORD04188,CUST0051,Platinum,Singapore,PROD001,Thus,123.15,4.5,4,96.0
ORD04204,CUST0121,Silver,Korea,PROD001,Thus,123.15,11.03,4,96.0
ORD04206,CUST0077,Bronze,Singapore,PROD001,Thus,123.15,3.86,6,144.0
ORD04234,CUST0246,Gold,Vietnam,PROD001,Thus,123.15,3.6,6,144.0
ORD04292,CUST0120,Platinum,UK,PROD001,Thus,123.15,3.19,2,48.0
ORD04418,CUST0162,Platinum,France,PROD001,Thus,123.15,10.26,7,168.0
ORD04429,CUST0025,Gold,Singapore,PROD001,Thus,123.15,3.55,2,48.0
ORD04505,CUST0296,Silver,UK,PROD001,Thus,123.15,3.27,7,168.0
ORD04531,CUST0210,Gold,USA,PROD001,Thus,123.15,13.97,3,72.0
ORD04577,CUST0016,Gold,UK,PROD001,Thus,123.15,8.58,3,72.0
ORD04579,CUST0289,Bronze,Australia,PROD001,Thus,123.15,12.58,1,24.0
ORD04605,CUST0031,Platinum,France,PROD001,Thus,123.15,9.31,5,120.0
ORD04617,CUST0169,Platinum,Vietnam,PROD001,Thus,123.15,12.14,2,48.0
ORD04643,CUST0148,Gold,Vietnam,PROD001,Thus,123.15,14.53,2,48.0
ORD04705,CUST0187,Bronze,Canada,PROD001,Thus,123.15,4.45,6,144.0
ORD04728,CUST0246,Gold,Vietnam,PROD001,Thus,123.15,5.37,2,48.0
ORD04825,CUST0068,Bronze,Vietnam,PROD001,Thus,123.15,9.45,7,168.0
ORD04886,CUST0059,Platinum,Singapore,PROD001,Thus,123.15,14.24,6,144.0
ORD04978,CUST0249,Platinum,Japan,PROD001,Thus,123.15,5.14,1,24.0
ORD04997,CUST0066,Gold,Korea,PROD001,Thus,123.15,8.0,4,96.0
ORD05008,CUST0207,Bronze,Canada,PROD001,Thus,123.15,3.05,1,24.0
ORD05027,CUST0149,Gold,Japan,PROD001,Thus,123.15,5.97,3,72.0
ORD05050,CUST0146,Bronze,Australia,PROD001,Thus,123.15,5.95,5,120.0
ORD05082,CUST0230,Silver,France,PROD001,Thus,123.15,13.88,2,48.0
ORD05087,CUST0062,Gold,USA,PROD001,Thus,123.15,5.6,7,168.0
ORD05121,CUST0281,Platinum,Japan,PROD001,Thus,123.15,11.24,3,72.0
ORD05148,CUST0227,Bronze,Japan,PROD001,Thus,123.15,9.7,2,48.0
ORD05423,CUST0206,Bronze,France,PROD001,Thus,123.15,9.94,3,72.0
ORD05466,CUST0053,Platinum,Japan,PROD001,Thus,123.15,14.62,1,24.0
ORD05479,CUST0068,Bronze,Vietnam,PROD001,Thus,123.15,14.15,7,168.0
ORD05493,CUST0295,Silver,Singapore,PROD001,Thus,123.15,12.77,3,72.0
ORD05529,CUST0184,Platinum,Germany,PROD001,Thus,123.15,4.81,2,48.0
ORD05581,CUST0191,Silver,UK,PROD001,Thus,123.15,4.77,2,48.0
ORD05663,CUST0215,Gold,Canada,PROD001,Thus,123.15,9.05,1,24.0
ORD05684,CUST0103,Gold,Canada,PROD001,Thus,123.15,13.88,1,24.0
ORD05699,CUST0126,Silver,Japan,PROD001,Thus,123.15,10.35,7,168.0
ORD05711,CUST0264,Bronze,Canada,PROD001,Thus,123.15,11.39,5,120.0
ORD05726,CUST0023,Bronze,Canada,PROD001,Thus,123.15,10.24,6,144.0
ORD05858,CUST0112,Gold,Japan,PROD001,Thus,123.15,14.42,3,72.0
ORD05865,CUST0119,Platinum,Australia,PROD001,Thus,123.15,6.34,1,24.0
ORD05987,CUST0107,Gold,Canada,PROD001,Thus,123.15,6.53,7,168.0
ORD06040,CUST0066,Gold,Korea,PROD001,Thus,123.15,6.93,2,48.0
ORD06166,CUST0203,Gold,Germany,PROD001,Thus,123.15,9.73,4,96.0
ORD06248,CUST0200,Gold,Singapore,PROD001,Thus,123.15,3.02,2,48.0
ORD06250,CUST0294,Bronze,UK,PROD001,Thus,123.15,10.94,4,96.0
ORD06252,CUST0192,Silver,Korea,PROD001,Thus,123.15,8.05,4,96.0
ORD06274,CUST0043,Bronze,France,PROD001,Thus,123.15,7.35,4,96.0
ORD06289,CUST0032,Silver,Germany,PROD001,Thus,123.15,6.36,4,96.0
ORD06329,CUST0267,Platinum,Singapore,PROD001,Thus,123.15,5.0,3,72.0
ORD06362,CUST0236,Silver,Singapore,PROD001,Thus,123.15,7.38,1,24.0
ORD06584,CUST0028,Gold,UK,PROD001,Thus,123.15,11.0,1,24.0
ORD06630,CUST0234,Bronze,Singapore,PROD001,Thus,123.15,11.53,2,48.0
ORD06641,CUST0069,Silver,France,PROD001,Thus,123.15,10.41,1,24.0
ORD06658,CUST0157,Bronze,France,PROD001,Thus,123.15,5.48,2,48.0
ORD06696,CUST0117,Silver,USA,PROD001,Thus,123.15,14.86,6,144.0
ORD06706,CUST0292,Bronze,USA,PROD001,Thus,123.15,3.05,6,144.0
ORD06727,CUST0145,Bronze,USA,PROD001,Thus,123.15,13.85,2,48.0
ORD06837,CUST0273,Platinum,France,PROD001,Thus,123.15,3.48,7,168.0
ORD06844,CUST0198,Bronze,Korea,PROD001,Thus,123.15,5.09,3,72.0
ORD07046,CUST0228,Gold,France,PROD001,Thus,123.15,9.67,4,96.0
ORD07069,CUST0235,Platinum,Australia,PROD001,Thus,123.15,8.63,1,24.0
ORD07092,CUST0180,Silver,Singapore,PROD001,Thus,123.15,14.03,7,168.0
ORD07192,CUST0206,Bronze,France,PROD001,Thus,123.15,12.78,1,24.0
ORD07266,CUST0064,Platinum,France,PROD001,Thus,123.15,4.02,5,120.0
ORD07313,CUST0225,Silver,Australia,PROD001,Thus,123.15,8.41,3,72.0
ORD07318,CUST0206,Bronze,France,PROD001,Thus,123.15,11.07,1,24.0
ORD07351,CUST0270,Platinum,Canada,PROD001,Thus,123.15,6.4,3,72.0
ORD07368,CUST0212,Gold,USA,PROD001,Thus,123.15,14.6,7,168.0
ORD07436,CUST0224,Platinum,Australia,PROD001,Thus,123.15,11.56,7,168.0
ORD07442,CUST0136,Silver,USA,PROD001,Thus,123.15,3.35,2,48.0
ORD07575,CUST0058,Platinum,Canada,PROD001,Thus,123.15,13.67,1,24.0
ORD07593,CUST0028,Gold,UK,PROD001,Thus,123.15,12.84,5,120.0
ORD07596,CUST0237,Platinum,Canada,PROD001,Thus,123.15,14.6,7,168.0
ORD07693,CUST0091,Silver,Singapore,PROD001,Thus,123.15,4.99,2,48.0
ORD07753,CUST0280,Platinum,USA,PROD001,Thus,123.15,6.9,7,168.0
ORD07813,CUST0234,Bronze,Singapore,PROD001,Thus,123.15,14.73,2,48.0
ORD07876,CUST0223,Gold,Singapore,PROD001,Thus,123.15,9.82,4,96.0
ORD07914,CUST0022,Bronze,Vietnam,PROD001,Thus,123.15,7.55,2,48.0
ORD07919,CUST0093,Silver,Korea,PROD001,Thus,123.15,9.81,5,120.0
ORD07936,CUST0101,Silver,Canada,PROD001,Thus,123.15,14.23,7,168.0
ORD07987,CUST0155,Gold,Vietnam,PROD001,Thus,123.15,6.9,6,144.0
ORD08040,CUST0047,Gold,Japan,PROD001,Thus,123.15,10.86,2,48.0
ORD08052,CUST0142,Platinum,France,PROD001,Thus,123.15,3.64,2,48.0
ORD08148,CUST0283,Platinum,France,PROD001,Thus,123.15,12.31,1,24.0
ORD08288,CUST0163,Bronze,France,PROD001,Thus,123.15,6.37,7,168.0
ORD08363,CUST0253,Gold,UK,PROD001,Thus,123.15,3.83,7,168.0
ORD08396,CUST0121,Silver,Korea,PROD001,Thus,123.15,4.61,1,24.0
ORD08411,CUST0277,Silver,Australia,PROD001,Thus,123.15,13.12,6,144.0
ORD08531,CUST0279,Bronze,Canada,PROD001,Thus,123.15,10.68,7,168.0
ORD08575,CUST0200,Gold,Singapore,PROD001,Thus,123.15,8.03,3,72.0
ORD08596,CUST0281,Platinum,Japan,PROD001,Thus,123.15,14.67,1,24.0
ORD08624,CUST0279,Bronze,Canada,PROD001,Thus,123.15,8.24,2,48.0
ORD08693,CUST0167,Gold,Japan,PROD001,Thus,123.15,13.48,4,96.0
ORD08742,CUST0128,Bronze,Korea,PROD001,Thus,123.15,3.17,6,144.0
ORD08778,CUST0089,Bronze,Germany,PROD001,Thus,123.15,10.34,4,96.0
ORD08849,CUST0132,Bronze,Korea,PROD001,Thus,123.15,13.95,4,96.0
ORD08882,CUST0245,Platinum,Japan,PROD001,Thus,123.15,10.88,1,24.0
ORD08894,CUST0100,Platinum,UK,PROD001,Thus,123.15,11.0,7,168.0
ORD08916,CUST0177,Silver,Germany,PROD001,Thus,123.15,5.62,2,48.0
ORD08948,CUST0207,Bronze,Canada,PROD001,Thus,123.15,8.88,5,120.0
ORD08967,CUST0156,Silver,USA,PROD001,Thus,123.15,6.95,4,96.0
ORD08979,CUST0124,Gold,Australia,PROD001,Thus,123.15,13.64,7,168.0
ORD09045,CUST0139,Gold,Canada,PROD001,Thus,123.15,5.04,7,168.0
ORD09074,CUST0277,Silver,Australia,PROD001,Thus,123.15,5.99,2,48.0
ORD09118,CUST0257,Bronze,Germany,PROD001,Thus,123.15,5.32,3,72.0
ORD09131,CUST0006,Bronze,Korea,PROD001,Thus,123.15,12.96,7,168.0
ORD09213,CUST0078,Platinum,USA,PROD001,Thus,123.15,6.03,5,120.0
ORD09245,CUST0008,Bronze,UK,PROD001,Thus,123.15,13.97,3,72.0
ORD09261,CUST0239,Bronze,Japan,PROD001,Thus,123.15,14.37,7,168.0
ORD09281,CUST0144,Gold,Australia,PROD001,Thus,123.15,12.44,5,120.0
ORD09343,CUST0095,Bronze,Germany,PROD001,Thus,123.15,13.86,6,144.0
ORD09366,CUST0283,Platinum,France,PROD001,Thus,123.15,11.36,1,24.0
ORD09407,CUST0120,Platinum,UK,PROD001,Thus,123.15,14.32,2,48.0
ORD09413,CUST0134,Bronze,Singapore,PROD001,Thus,123.15,7.99,1,24.0
ORD09453,CUST0275,Gold,Canada,PROD001,Thus,123.15,13.79,1,24.0
ORD09493,CUST0241,Silver,UK,PROD001,Thus,123.15,8.86,2,48.0
ORD09505,CUST0177,Silver,Germany,PROD001,Thus,123.15,7.34,6,144.0
ORD09691,CUST0143,Gold,Japan,PROD001,Thus,123.15,14.37,5,120.0
ORD09713,CUST0113,Silver,Australia,PROD001,Thus,123.15,5.45,3,72.0
ORD09840,CUST0199,Silver,France,PROD001,Thus,123.15,3.69,2,48.0
ORD09991,CUST0037,Platinum,Japan,PROD001,Thus,123.15,11.34,3,72.0
ORD00096,CUST0166,Gold,Korea,PROD002,Put,145.08,6.18,2,48.0
ORD00118,CUST0286,Platinum,Germany,PROD002,Put,145.08,14.15,5,120.0
ORD00119,CUST0137,Bronze,Singapore,PROD002,Put,145.08,6.28,2,48.0
ORD00212,CUST0082,Platinum,France,PROD002,Put,145.08,13.18,2,48.0
ORD00265,CUST0244,Platinum,USA,PROD002,Put,145.08,6.97,3,72.0
ORD00367,CUST0147,Silver,USA,PROD002,Put,145.08,12.76,5,120.0
ORD00378,CUST0162,Platinum,France,PROD002,Put,145.08,10.04,2,48.0
ORD00384,CUST0168,Platinum,Japan,PROD002,Put,145.08,6.28,6,144.0
ORD00392,CUST0053,Platinum,Japan,PROD002,Put,145.08,7.25,1,24.0
ORD00425,CUST0059,Platinum,Singapore,PROD002,Put,145.08,7.12,7,168.0
ORD00429,CUST0203,Gold,Germany,PROD002,Put,145.08,10.37,6,144.0
ORD00445,CUST0290,Bronze,Vietnam,PROD002,Put,145.08,12.13,7,168.0
ORD00470,CUST0236,Silver,Singapore,PROD002,Put,145.08,14.15,1,24.0
ORD00494,CUST0038,Gold,Canada,PROD002,Put,145.08,3.81,5,120.0
ORD00554,CUST0093,Silver,Korea,PROD002,Put,145.08,10.17,3,72.0
ORD00616,CUST0191,Silver,UK,PROD002,Put,145.08,12.81,3,72.0
ORD00670,CUST0207,Bronze,Canada,PROD002,Put,145.08,5.69,2,48.0
ORD00767,CUST0079,Silver,USA,PROD002,Put,145.08,11.6,4,96.0
ORD00927,CUST0274,Bronze,Australia,PROD002,Put,145.08,14.67,2,48.0
ORD00954,CUST0095,Bronze,Germany,PROD002,Put,145.08,13.28,5,120.0
ORD01018,CUST0081,Silver,Vietnam,PROD002,Put,145.08,11.21,3,72.0
ORD01052,CUST0231,Silver,UK,PROD002,Put,145.08,8.44,2,48.0
ORD01106,CUST0160,Silver,Singapore,PROD002,Put,145.08,12.1,5,120.0
ORD01259,CUST0047,Gold,Japan,PROD002,Put,145.08,11.03,4,96.0
ORD01322,CUST0295,Silver,Singapore,PROD002,Put,145.08,6.11,7,168.0
ORD01335,CUST0068,Bronze,Vietnam,PROD002,Put,145.08,7.18,4,96.0
ORD01369,CUST0069,Silver,France,PROD002,Put,145.08,11.85,1,24.0
ORD01414,CUST0249,Platinum,Japan,PROD002,Put,145.08,13.32,1,24.0
ORD01501,CUST0258,Silver,Japan,PROD002,Put,145.08,11.89,1,24.0
ORD01561,CUST0012,Gold,Singapore,PROD002,Put,145.08,9.48,7,168.0
ORD01609,CUST0248,Platinum,Vietnam,PROD002,Put,145.08,10.6,4,96.0
ORD01647,CUST0293,Silver,Korea,PROD002,Put,145.08,5.71,6,144.0
ORD01649,CUST0050,Platinum,Singapore,PROD002,Put,145.08,8.18,4,96.0
ORD01683,CUST0052,Silver,Germany,PROD002,Put,145.08,11.13,7,168.0
ORD01754,CUST0088,Bronze,UK,PROD002,Put,145.08,4.21,5,120.0
ORD01794,CUST0247,Platinum,Australia,PROD002,Put,145.08,7.58,7,168.0
ORD01835,CUST0165,Bronze,France,PROD002,Put,145.08,7.32,6,144.0
ORD01865,CUST0082,Platinum,France,PROD002,Put,145.08,7.71,5,120.0
ORD01981,CUST0258,Silver,Japan,PROD002,Put,145.08,10.19,2,48.0
ORD02057,CUST0172,Bronze,Japan,PROD002,Put,145.08,6.39,2,48.0
ORD02112,CUST0187,Bronze,Canada,PROD002,Put,145.08,13.76,3,72.0
ORD02135,CUST0048,Silver,Japan,PROD002,Put,145.08,3.14,4,96.0
ORD02136,CUST0079,Silver,USA,PROD002,Put,145.08,11.49,5,120.0
ORD02306,CUST0170,Bronze,Vietnam,PROD002,Put,145.08,12.86,2,48.0
ORD02319,CUST0117,Silver,USA,PROD002,Put,145.08,3.32,1,24.0
ORD02409,CUST0087,Silver,USA,PROD002,Put,145.08,13.83,5,120.0
ORD02453,CUST0213,Gold,Vietnam,PROD002,Put,145.08,11.91,1,24.0
ORD02607,CUST0240,Platinum,USA,PROD002,Put,145.08,10.5,2,48.0
ORD02690,CUST0141,Silver,Germany,PROD002,Put,145.08,11.45,7,168.0
ORD02717,CUST0222,Platinum,UK,PROD002,Put,145.08,9.9,4,96.0
ORD02718,CUST0200,Gold,Singapore,PROD002,Put,145.08,5.7,1,24.0
ORD02726,CUST0182,Platinum,Japan,PROD002,Put,145.08,13.53,2,48.0
ORD02734,CUST0234,Bronze,Singapore,PROD002,Put,145.08,7.56,1,24.0
ORD02830,CUST0141,Silver,Germany,PROD002,Put,145.08,5.69,4,96.0
ORD02844,CUST0088,Bronze,UK,PROD002,Put,145.08,8.38,5,120.0
ORD02885,CUST0274,Bronze,Australia,PROD002,Put,145.08,14.6,1,24.0
ORD02915,CUST0225,Silver,Australia,PROD002,Put,145.08,8.29,7,168.0
ORD02918,CUST0274,Bronze,Australia,PROD002,Put,145.08,11.65,5,120.0
ORD02940,CUST0227,Bronze,Japan,PROD002,Put,145.08,5.48,6,144.0
ORD03051,CUST0203,Gold,Germany,PROD002,Put,145.08,12.19,5,120.0
ORD03083,CUST0137,Bronze,Singapore,PROD002,Put,145.08,6.26,6,144.0
ORD03109,CUST0009,Silver,Vietnam,PROD002,Put,145.08,4.45,3,72.0
ORD03132,CUST0289,Bronze,Australia,PROD002,Put,145.08,8.95,4,96.0
ORD03133,CUST0221,Gold,France,PROD002,Put,145.08,9.3,6,144.0
ORD03196,CUST0195,Gold,France,PROD002,Put,145.08,12.18,5,120.0
ORD03221,CUST0263,Platinum,Vietnam,PROD002,Put,145.08,9.05,5,120.0
ORD03337,CUST0180,Silver,Singapore,PROD002,Put,145.08,13.24,3,72.0
ORD03353,CUST0209,Platinum,Germany,PROD002,Put,145.08,14.78,1,24.0
ORD03396,CUST0207,Bronze,Canada,PROD002,Put,145.08,9.81,1,24.0
ORD03447,CUST0173,Silver,Germany,PROD002,Put,145.08,12.19,1,24.0
ORD03458,CUST0240,Platinum,USA,PROD002,Put,145.08,10.19,1,24.0
ORD03485,CUST0259,Platinum,UK,PROD002,Put,145.08,5.71,7,168.0
ORD03565,CUST0172,Bronze,Japan,PROD002,Put,145.08,14.34,1,24.0
ORD03599,CUST0210,Gold,USA,PROD002,Put,145.08,5.75,3,72.0
ORD03613,CUST0280,Platinum,USA,PROD002,Put,145.08,4.52,2,48.0
ORD03622,CUST0096,Silver,Vietnam,PROD002,Put,145.08,8.42,5,120.0
ORD03644,CUST0188,Silver,Australia,PROD002,Put,145.08,8.88,6,144.0
ORD03726,CUST0048,Silver,Japan,PROD002,Put,145.08,4.79,7,168.0
ORD03753,CUST0080,Platinum,Japan,PROD002,Put,145.08,14.88,2,48.0
ORD03785,CUST0244,Platinum,USA,PROD002,Put,145.08,3.69,1,24.0
ORD03811,CUST0228,Gold,France,PROD002,Put,145.08,13.04,6,144.0
ORD03833,CUST0220,Bronze,Canada,PROD002,Put,145.08,8.44,3,72.0
ORD03841,CUST0218,Silver,Canada,PROD002,Put,145.08,13.0,5,120.0
ORD03935,CUST0256,Gold,France,PROD002,Put,145.08,14.04,4,96.0
ORD04155,CUST0010,Platinum,Vietnam,PROD002,Put,145.08,10.75,5,120.0
ORD04331,CUST0227,Bronze,Japan,PROD002,Put,145.08,9.03,3,72.0
ORD04333,CUST0238,Silver,Canada,PROD002,Put,145.08,4.99,7,168.0
ORD04341,CUST0069,Silver,France,PROD002,Put,145.08,7.43,6,144.0
ORD04512,CUST0203,Gold,Germany,PROD002,Put,145.08,11.93,6,144.0
ORD04541,CUST0109,Silver,UK,PROD002,Put,145.08,7.94,5,120.0
ORD04556,CUST0215,Gold,Canada,PROD002,Put,145.08,9.54,2,48.0
ORD04561,CUST0034,Gold,UK,PROD002,Put,145.08,11.49,1,24.0
ORD04606,CUST0133,Bronze,Japan,PROD002,Put,145.08,11.99,5,120.0
ORD04618,CUST0011,Platinum,UK,PROD002,Put,145.08,9.23,5,120.0
ORD04622,CUST0002,Silver,France,PROD002,Put,145.08,14.46,5,120.0
ORD04655,CUST0045,Platinum,UK,PROD002,Put,145.08,11.68,1,24.0
ORD04688,CUST0275,Gold,Canada,PROD002,Put,145.08,7.86,4,96.0
ORD04707,CUST0062,Gold,USA,PROD002,Put,145.08,14.07,4,96.0
ORD04723,CUST0242,Platinum,Vietnam,PROD002,Put,145.08,12.61,4,96.0
ORD04739,CUST0167,Gold,Japan,PROD002,Put,145.08,4.42,7,168.0
ORD04770,CUST0178,Bronze,UK,PROD002,Put,145.08,9.3,6,144.0
ORD04808,CUST0192,Silver,Korea,PROD002,Put,145.08,11.67,4,96.0
ORD04840,CUST0118,Platinum,Japan,PROD002,Put,145.08,9.85,1,24.0
ORD04950,CUST0231,Silver,UK,PROD002,Put,145.08,10.19,4,96.0
ORD05019,CUST0119,Platinum,Australia,PROD002,Put,145.08,14.19,5,120.0
ORD05062,CUST0135,Platinum,UK,PROD002,Put,145.08,13.89,5,120.0
ORD05198,CUST0219,Gold,Singapore,PROD002,Put,145.08,12.31,5,120.0
ORD05238,CUST0297,Bronze,Australia,PROD002,Put,145.08,13.61,2,48.0
ORD05257,CUST0069,Silver,France,PROD002,Put,145.08,12.93,6,144.0
ORD05282,CUST0151,Gold,Germany,PROD002,Put,145.08,14.88,7,168.0
ORD05305,CUST0148,Gold,Vietnam,PROD002,Put,145.08,14.95,6,144.0
ORD05356,CUST0079,Silver,USA,PROD002,Put,145.08,7.91,4,96.0
ORD05358,CUST0073,Bronze,Australia,PROD002,Put,145.08,14.8,1,24.0
ORD05392,CUST0296,Silver,UK,PROD002,Put,145.08,12.42,4,96.0
ORD05462,CUST0244,Platinum,USA,PROD002,Put,145.08,3.51,6,144.0
ORD05488,CUST0115,Bronze,Vietnam,PROD002,Put,145.08,5.66,4,96.0
ORD05601,CUST0069,Silver,France,PROD002,Put,145.08,14.82,5,120.0
ORD05654,CUST0137,Bronze,Singapore,PROD002,Put,145.08,10.38,1,24.0
ORD05677,CUST0073,Bronze,Australia,PROD002,Put,145.08,7.69,5,120.0
ORD05708,CUST0184,Platinum,Germany,PROD002,Put,145.08,11.74,1,24.0
ORD05764,CUST0288,Bronze,France,PROD002,Put,145.08,8.06,1,24.0
ORD05786,CUST0218,Silver,Canada,PROD002,Put,145.08,6.09,5,120.0
ORD05838,CUST0022,Bronze,Vietnam,PROD002,Put,145.08,4.55,3,72.0
ORD05935,CUST0037,Platinum,Japan,PROD002,Put,145.08,5.4,6,144.0
ORD05973,CUST0168,Platinum,Japan,PROD002,Put,145.08,6.89,3,72.0
